Batch No,StartDate,FinishDate,Product,Para 1,Para 2,Para 3,Para 4,Para 5,Para 6,Para 7,Para 8,Para 9,Para 10,Para 11,Para 12,Para 13,Parameter Names
Batch366,11-Sep-06,19-Sep-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch367,11-Sep-06,19-Sep-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch370,18-Sep-06,26-Sep-06,RVM,12.81671887,1.108522974,0.793229846,10509.70149,0.621626176,76.1,100,7.61,76.54,5.82,30.7,220.62,6.77,
Batch371,18-Sep-06,26-Sep-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch374,25-Sep-06,03-Oct-06,RVM,10.12577251,1.227656281,0.761347787,9555.925176,0.587090382,58.7,125,7.34,74.74,4.39,22.1,204.65,4.52,
Batch375,25-Sep-06,03-Oct-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch377,02-Oct-06,10-Oct-06,RVM,14.49062595,1.352704299,0.530526204,7160.089128,0.553455757,65.2,126,8.22,77.31,5.04,25.9,183.1,4.74,
Batch378,02-Oct-06,10-Oct-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch381,16-Oct-06,24-Oct-06,RVM,8.253749659,1.488052097,0.560603332,2842.718435,0.132926843,52.3,33,1.73,31.43,1.64,8.7,210.76,1.83,
Batch386,30-Oct-06,08-Nov-06,RVM,13.27343158,2.356818161,0.51194812,5706.857313,0.474945204,72.4,99,7.17,80.39,5.82,29.1,177.2,5.16,
Batch387,30-Oct-06,08-Nov-06,RVM,10.31584924,1.175056984,0.599411393,21187.99548,1.226515792,70.7,140,9.9,60.43,4.27,22,206.82,4.55,
Batch388,30-Oct-06,08-Nov-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch389,30-Oct-06,08-Nov-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch392,06-Nov-06,14-Nov-06,RVM,10.09150349,1.96205515,0.698103434,4218.607723,0.268320775,63.7,138,8.79,103.9,6.62,26.8,208.32,5.58,
Batch393,06-Nov-06,14-Nov-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch395,13-Nov-06,21-Nov-06,RVM,12.81033707,2.433053196,0.429370955,6486.736661,0.42863948,63,119,7.5,111.1,7,34.7,203.18,7.05,
Batch397,13-Nov-06,21-Nov-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch398,13-Nov-06,21-Nov-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch401,20-Nov-06,24-Nov-06,RVM,9.923085859,0.996561082,0.422311151,5298.653182,0.336304496,58.2,45,2.62,29.64,1.73,8.7,242.81,2.11,
Batch404,27-Nov-06,01-Dec-06,RVM,11.00679359,1.943924112,0.540209829,6288.243278,0.324957547,79,84,6.64,72.13,5.7,28.4,224.85,6.39,
Batch405,27-Nov-06,01-Dec-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch408,04-Dec-06,08-Dec-06,RVM,12.90366412,2.64363488,0.745391638,9052.46502,0.406547153,72.7,114,8.29,103.82,7.55,39.7,162.18,6.44,
Batch409,04-Dec-06,08-Dec-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch410,04-Dec-06,08-Dec-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch413,11-Dec-06,15-Dec-06,RVM,11.57338761,3.87918443,0.650415869,5502.632961,0.351394712,79.3,141,11.18,82.08,6.51,32.5,194.97,6.34,
Batch414,11-Dec-06,15-Dec-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch415,11-Dec-06,15-Dec-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch417,15-Jan-07,23-Jan-07,RVM,14.03062881,2.607465395,0.444168251,6656.228759,0.675018216,75.6,112,8.47,75.95,5.74,29,208.79,6.05,
Batch419,15-Jan-07,23-Jan-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch422,22-Jan-07,26-Jan-07,RVM,8.056430874,1.883448802,0.661274818,10146.67166,0.647493759,60.2,199,11.98,97.11,5.85,29.7,202.38,6.01,
Batch423,22-Jan-07,26-Jan-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch426,29-Jan-07,06-Feb-07,RVM,9.595973029,2.270477937,0.62908787,7986.745842,0.535533148,60.2,117,7.04,86.05,5.18,26.3,210.94,5.55,
Batch427,29-Jan-07,06-Feb-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch429,05-Feb-07,06-Feb-07,RVM,13.60110198,4.477792794,0.728887705,8142.322458,0.5370398,71,157,11.15,105.31,7.48,37.2,219.1,8.15,
Batch430,05-Feb-07,06-Feb-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch432,05-Feb-07,06-Feb-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch435,12-Feb-07,21-Feb-07,RVM,10.13868105,0.98581415,0.584053701,7922.91672,0.482876737,70.3,95,6.68,71.89,5.05,27.2,174.11,4.74,
Batch436,12-Feb-07,21-Feb-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch439,19-Feb-07,27-Feb-07,RVM,12.93296687,1.978235797,0.499632051,6704.261123,0.416604973,60.4,137,8.27,109.47,6.61,34.1,176.46,6.02,
Batch440,19-Feb-07,27-Feb-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch441,19-Feb-07,27-Feb-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch444,26-Feb-07,06-Mar-07,RVM,10.34400666,1.502946685,0.619847044,8668.107565,0.371108637,69.8,82,5.72,76.09,5.31,26.6,207.73,5.53,
Batch445,26-Feb-07,06-Mar-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch448,05-Mar-07,13-Mar-07,RVM,10.57470388,3.152464529,0.641076701,2281.051033,0.247758753,73.5,241,17.71,80.76,5.94,29.1,227.45,6.62,
Batch449,05-Mar-07,13-Mar-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch452,12-Mar-07,20-Mar-07,RVM,8.204581971,1.650777447,0.733102784,7426.179897,0.583440439,75,105,7.88,100.1,7.51,38,196.81,7.48,
Batch453,12-Mar-07,20-Mar-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch454,12-Mar-07,20-Mar-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch457,19-Mar-07,27-Mar-07,RVM,13.26833339,1.942786414,1.212590839,5979.860093,0.584329129,76.1,107,8.14,77.8,5.92,28.6,225.59,6.45,
Batch458,19-Mar-07,27-Mar-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch461,26-Mar-07,03-Apr-07,RVM,8.627359617,1.749819797,0.594505109,6392.260278,0.379804047,68.1,84,5.72,77.88,5.3,28.3,188.06,5.32,
Batch462,26-Mar-07,03-Apr-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch464,02-Apr-07,10-Apr-07,RVM,11.83750235,1.637355712,0.447393472,3827.561572,0.202851403,62.2,67,4.17,89.87,5.59,28.6,192.8,5.51,
Batch465,02-Apr-07,10-Apr-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch469,09-Apr-07,17-Apr-07,RVM,13.17159116,2.152972726,0.533992169,5078.649967,0.375944313,72.1,78,5.62,81.58,5.88,29.3,211.7,6.2,
Batch470,09-Apr-07,17-Apr-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch473,16-Apr-07,24-Apr-07,RVM,13.90652936,2.0071583,0.580024462,5498.139253,0.214718613,59.6,77,4.59,93.58,5.58,28.2,178.95,5.05,
Batch474,16-Apr-07,24-Apr-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch477,23-Apr-07,01-May-07,RVM,9.54642238,1.45589644,0.791850734,5542.005298,0.245410992,70.8,81,5.73,84.91,6.01,29.4,217.42,6.39,
Batch478,23-Apr-07,01-May-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch481,30-Apr-07,08-May-07,RVM,8.933314372,1.954505208,0.68248315,6988.963802,0.404491226,84.2,66,5.56,78.69,6.63,32.9,196.06,6.45,
Batch482,30-Apr-07,08-May-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch483,30-Apr-07,08-May-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch485,07-May-07,15-May-07,RVM,11.0067373,1.578214984,0.495395594,7620.709054,0.394550579,67,91,6.1,92.88,6.22,25,254.05,6.35,
Batch487,07-May-07,15-May-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch489,14-May-07,22-May-07,RVM,12.6969199,2.073483312,0.659724639,5848.412592,0.192736399,65.8,73,4.8,97.87,6.44,32.2,187.63,6.04,
Batch491,14-May-07,22-May-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch492,14-May-07,22-May-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch494,21-May-07,29-May-07,RVM,13.72498825,2.155476412,0.430230034,7162.767766,0.293972835,68.5,71,4.86,90.95,6.23,32,199.3,6.38,
Batch496,21-May-07,29-May-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch497,21-May-07,29-May-07,RVM,14.41316724,1.518009157,0.508135521,2143.872019,0.092993576,72.9,22,1.6,37.13,2.71,18.1,135.38,2.45,
Batch498,21-May-07,29-May-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch499,21-May-07,29-May-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch503,17-Sep-07,25-Sep-07,RVM,11.13314913,1.614364007,0.446826703,8403.606688,0.4541605,63.9,112,7.16,91.71,5.86,29.5,185.55,5.47,
Batch504,17-Sep-07,25-Sep-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch507,24-Sep-07,02-Oct-07,RVM,13.93371271,1.793199864,0.758212863,4587.89075,0.210858848,64.6,108,6.98,89.4,5.78,30.3,172.76,5.23,
Batch508,24-Sep-07,02-Oct-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch511,01-Oct-07,09-Oct-07,RVM,8.017107491,1.205116409,0.552873132,8225.240675,0.33947473,63.9,110,7.03,84.54,5.4,27.4,205.63,5.63,
Batch512,01-Oct-07,09-Oct-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch515,08-Oct-07,16-Oct-07,RVM,15.92434637,1.732918882,0.71773768,5100.38044,0.512603045,70.7,110,7.78,96.32,6.81,34.2,188.08,6.43,
Batch516,08-Oct-07,16-Oct-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch517,08-Oct-07,16-Oct-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch520,15-Oct-07,23-Oct-07,RVM,10.67376732,1.853076291,0.73797367,4652.82571,0.279651241,60.5,101,6.11,77.86,4.71,23.9,168.76,4.03,
Batch521,15-Oct-07,23-Oct-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch524,22-Oct-07,30-Oct-07,RVM,12.39710532,2.025734265,0.630291775,7436.701308,0.365872956,77.9,78,6.08,86.4,6.73,33.9,196.6,6.66,
Batch525,22-Oct-07,30-Oct-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch526,22-Oct-07,30-Oct-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch529,29-Oct-07,30-Oct-07,RVM,12.70706393,1.453462797,0.662352644,3487.46399,0.344558586,67.5,90,6.08,74.9,5.06,26.1,200.55,5.23,
Batch530,29-Oct-07,30-Oct-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch532,05-Nov-07,13-Nov-07,RVM,13.95170549,1.501394083,0.599606519,9462.445561,0.511455919,63.1,124,7.82,91.38,5.77,28.8,189.16,5.45,
Batch533,05-Nov-07,13-Nov-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch537,12-Nov-07,20-Nov-07,RVM,15.21192456,1.746913029,0.442469783,9000.899508,0.728743278,60.1,178,10.7,62.22,3.74,19.1,219.93,4.2,
Batch538,12-Nov-07,20-Nov-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch541,19-Nov-07,27-Nov-07,RVM,10.44262444,1.580230882,0.592977048,12135.48605,0.431581375,67.7,316,21.39,103.58,7.01,35.9,185.42,6.66,
Batch542,19-Nov-07,27-Nov-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch543,19-Nov-07,27-Nov-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch546,26-Nov-07,04-Dec-07,RVM,10.9076578,1.585012912,0.633012344,7381.791372,0.356312598,70.8,79,5.59,68.33,4.84,19.4,268.5,5.21,
Batch547,26-Nov-07,04-Dec-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch550,03-Dec-07,11-Dec-07,RVM,9.133879879,1.962519988,0.615449743,3951.016183,0.438316221,63.1,78,4.92,81.71,5.16,25.2,212.07,5.34,
Batch551,03-Dec-07,11-Dec-07,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch555,07-Jan-08,15-Jan-08,RVM,14.08415151,1.83328671,0.425387815,6455.388299,0.606881615,68,109,7.41,96.08,6.53,33,177.9,5.87,
Batch556,07-Jan-08,15-Jan-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch557,07-Jan-08,15-Jan-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch558,14-Jan-08,22-Jan-08,RVM,9.496384182,1.749748376,0.558872092,6087.473895,0.253268002,68.7,80,5.5,73.21,5.03,25.8,189.22,4.88,
Batch560,14-Jan-08,22-Jan-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch562,21-Jan-08,29-Jan-08,RVM,15.06743061,1.176279525,0.39551602,7744.106244,0.364852056,65.9,104,6.85,73.37,4.84,19.2,218.68,4.2,
Batch564,21-Jan-08,29-Jan-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch566,28-Jan-08,05-Feb-08,RVM,10.33523506,1.542771477,0.468698738,5262.395642,0.24044461,64.5,75,4.84,58.5,3.77,15.1,241.49,3.65,
Batch569,04-Feb-08,12-Feb-08,RVM,13.31298029,1.684289888,0.784277903,5992.036776,0.470904187,65.8,123,8.09,80.32,5.29,26.8,185.55,4.97,
Batch571,04-Feb-08,12-Feb-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch574,11-Feb-08,19-Feb-08,RVM,8.500938164,1.313038146,0.713212543,20342.25409,1.134154378,64.1,131,8.4,79.03,5.07,26.3,179.54,4.72,
Batch575,11-Feb-08,19-Feb-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch578,18-Feb-08,26-Feb-08,RVM,9.786144816,2.107597634,0.683037584,4866.184902,0.54110184,70.1,118,8.27,79.62,5.58,27.6,212.25,5.86,
Batch579,18-Feb-08,26-Feb-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch582,25-Feb-08,05-Mar-08,RVM,9.613412522,1.764279395,0.645421216,9036.518557,0.293718763,69.4,89,6.18,78.62,5.46,27.9,189.23,5.28,
Batch583,25-Feb-08,05-Mar-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch586,03-Mar-08,11-Mar-08,RVM,12.48514174,1.247162632,0.413058738,10060.4952,0.578890529,65.8,103,6.78,81.96,5.39,27.2,217.33,5.91,
Batch587,03-Mar-08,11-Mar-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch590,10-Mar-08,18-Mar-08,RVM,10.82640499,1.298028811,0.748245421,6841.786588,0.267571155,71.9,89,6.4,63.57,4.57,23.2,211.41,4.9,
Batch591,10-Mar-08,18-Mar-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch594,17-Mar-08,25-Mar-08,RVM,12.323657,1.972204867,0.487964255,8452.586137,0.490096752,82.7,93,7.69,67.35,5.57,28.1,186.82,5.25,
Batch595,17-Mar-08,25-Mar-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch598,24-Mar-08,01-Apr-08,RVM,15.91682727,2.183041418,0.555602714,5036.513247,0.403007657,79.8,113,9.02,76.5,6.1,28.9,211.86,6.12,
Batch599,24-Mar-08,01-Apr-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch602,31-Mar-08,08-Apr-08,RVM,14.89652441,1.790650439,0.670289787,8484.352699,0.287192514,74.2,95,7.05,60.69,4.5,22.6,188.25,4.25,
Batch603,31-Mar-08,08-Apr-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch606,07-Apr-08,15-Apr-08,RVM,11.31738649,1.834959505,0.783420048,8828.704082,0.322031067,68.7,90,6.18,67.67,4.65,23.7,175.76,4.17,
Batch607,07-Apr-08,15-Apr-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch610,14-Apr-08,22-Apr-08,RVM,13.30791472,1.873757114,0.453282473,7573.832309,0.481573734,67.9,115,7.81,84.78,5.76,28.4,199.36,5.66,
Batch611,14-Apr-08,22-Apr-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch614,21-Apr-08,29-Apr-08,RVM,10.52149863,1.441385784,0.414799671,8568.808392,0.603726589,77.1,126,9.71,73.08,5.63,28.4,192.03,5.45,
Batch615,21-Apr-08,29-Apr-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch618,28-Apr-08,02-May-08,RVM,10.63650365,1.362094576,0.472371459,2934.643282,0.155047846,70.3,78,5.48,47.41,3.33,16.6,191.54,3.18,
Batch619,28-Apr-08,02-May-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch622,12-May-08,20-May-08,RVM,11.7761126,1.87263297,0.746226667,5607.87951,0.284951279,86.8,75,6.51,50.39,4.37,22.1,196.41,4.34,
Batch623,12-May-08,20-May-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch626,19-May-08,27-May-08,RVM,8.489410027,1.803178124,0.417026234,5335.814463,0.384769329,70.4,82,5.77,61.53,4.33,22.1,204.64,4.52,
Batch627,19-May-08,27-May-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch629,26-May-08,03-Jun-08,RVM,13.87284229,2.133012907,0.757375066,6103.524458,0.437858779,70.1,79,5.54,77.76,5.45,28.4,179.46,5.1,
Batch630,26-May-08,03-Jun-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch634,02-Jun-08,10-Jun-08,RVM,8.504918876,1.549142937,0.618953706,6186.693276,0.381100554,70.6,88,6.21,67.59,4.77,23.6,179.16,4.23,
Batch635,02-Jun-08,10-Jun-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch638,09-Jun-08,17-Jun-08,RVM,10.36787557,1.245610799,0.778340569,3867.009129,0.352271443,63.4,77,4.88,65,4.12,20.3,215.19,4.37,
Batch639,09-Jun-08,17-Jun-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch642,16-Jun-08,24-Jun-08,RVM,13.7897758,2.314655547,0.64414009,5175.383593,0.291209108,64.7,76,4.92,65.56,4.24,21.7,187.47,4.07,
Batch643,16-Jun-08,24-Jun-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch646,23-Jun-08,01-Jul-08,RVM,13.67593226,2.032045873,0.85921214,3767.719728,0.228056051,56.9,49,2.79,58.18,3.31,17.5,171.73,3.01,
Batch647,23-Jun-08,01-Jul-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch650,30-Jun-08,08-Jul-08,RVM,15.67502462,1.591657201,0.752967825,4957.571286,0.251165875,54.7,115,6.29,63.71,3.48,18.2,200.64,3.65,
Batch651,30-Jun-08,08-Jul-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch654,07-Jul-08,15-Jul-08,RVM,12.70888592,1.935933937,0.900515016,6590.224726,0.310895402,87.8,82,7.2,44.95,3.95,20.2,170.39,3.44,
Batch655,07-Jul-08,15-Jul-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch658,14-Jul-08,22-Jul-08,RVM,12.47721334,2.31700366,0.605276134,18655.63683,1.559320548,66.1,106,7.01,67.2,4.44,22.2,200.62,4.45,
Batch659,14-Jul-08,22-Jul-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch662,21-Jul-08,27-Jul-08,RVM,12.37862287,2.211503918,0.866692372,6501.403434,0.545700459,64.2,122,7.83,103.77,6.66,34,192.96,6.56,
Batch663,21-Jul-08,27-Jul-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch664,21-Jul-08,27-Jul-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch667,28-Jul-08,06-Aug-08,RVM,12.46476835,1.342427138,0.548428351,3885.040196,0.372750647,65.6,86,5.64,66,4.33,21.7,204.93,4.45,
Batch668,28-Jul-08,06-Aug-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch671,01-Sep-08,09-Sep-08,RVM,14.93825412,1.606688338,0.704540729,5370.914171,0.412662014,78.1,77,6.01,71.14,5.56,28,167.35,4.69,
Batch672,01-Sep-08,09-Sep-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch674,08-Sep-08,16-Sep-08,RVM,9.81531658,2.117139558,0.849393835,2396.865258,0.20851147,66.1,50,3.31,46.23,3.06,14.6,205.54,3,
Batch678,15-Sep-08,23-Sep-08,RVM,12.69455335,2.403261658,0.577732676,4153.420463,0.542410022,85.3,71,6.06,64.22,5.48,28.4,204.23,5.8,
Batch679,15-Sep-08,23-Sep-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch681,22-Sep-08,30-Sep-08,RVM,9.943994721,1.619436843,0.874033892,4913.88589,0.320713089,70.8,94,6.66,78.61,5.57,28.8,193.42,5.57,
Batch682,22-Sep-08,30-Sep-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch685,29-Sep-08,07-Oct-08,RVM,15.81864418,0.974372528,0.736134086,3062.463062,0.159728645,57.2,50,2.86,45.39,2.6,14.8,175,2.59,
Batch687,06-Oct-08,14-Oct-08,RVM,15.24302632,2.488234339,0.534778631,10568.88149,0.565106646,78.9,120,9.47,69.05,5.45,28.2,200.64,5.66,
Batch689,06-Oct-08,14-Oct-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch691,13-Oct-08,22-Oct-08,RVM,14.31906153,2.547795454,0.494540686,7047.956377,0.411397547,92.9,102,9.48,66.38,6.17,31.7,186.41,5.91,
Batch693,13-Oct-08,22-Oct-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch694,13-Oct-08,22-Oct-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch696,20-Oct-08,28-Oct-08,RVM,11.82788277,2.164437781,0.513494407,2805.078157,0.327412812,78.3,52,4.07,75.28,5.89,33.4,184.78,6.17,
Batch698,20-Oct-08,28-Oct-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch699,20-Oct-08,28-Oct-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch701,27-Oct-08,04-Nov-08,RVM,8.555705569,1.327756072,0.781827068,9672.863794,0.576333059,81.2,91,7.39,83.95,6.82,35.1,177.7,6.24,
Batch703,27-Oct-08,04-Nov-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch704,27-Oct-08,04-Nov-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch706,03-Nov-08,11-Nov-08,RVM,8.238181445,1.512283775,0.697436075,5500.222287,0.386734002,74.2,52,3.86,53.72,3.99,22.3,180.03,4.01,
Batch708,03-Nov-08,11-Nov-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch710,10-Nov-08,18-Nov-08,RVM,8.632084321,1.768812487,0.522622909,5213.160929,0.361145551,62.4,89,5.55,77.04,4.81,27.1,150.41,4.08,
Batch712,10-Nov-08,18-Nov-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch714,17-Nov-08,25-Nov-08,RVM,14.1265789,2.077331949,0.627846547,2850.297823,0.169702556,72.3,37,2.68,45.02,3.25,18.2,166.31,3.03,
Batch716,17-Nov-08,25-Nov-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch718,24-Nov-08,02-Dec-08,RVM,14.22657238,2.267699241,0.826180624,3042.868988,0.270099012,66.3,73,4.84,73.06,4.84,27.2,168.29,4.58,
Batch720,24-Nov-08,02-Dec-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch722,01-Dec-08,09-Dec-08,RVM,13.32154497,1.773532579,0.574293521,6337.75317,0.42434738,75.3,69,5.2,72.72,5.48,29.4,182.27,5.36,
Batch724,01-Dec-08,09-Dec-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch726,08-Dec-08,16-Dec-08,RVM,10.43058647,1.540560387,0.885901111,4879.950144,0.435767728,72.2,83,5.99,82.9,5.99,29,191.29,5.55,
Batch728,08-Dec-08,16-Dec-08,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch733,12-Jan-09,20-Jan-09,RVM,8.152294888,2.586968147,0.711537245,6254.834972,0.484381563,76.4,79,6.04,76.59,5.85,32.6,185.8,6.06,
Batch734,12-Jan-09,20-Jan-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch735,12-Jan-09,20-Jan-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch738,19-Jan-09,27-Jan-09,RVM,12.4716094,2.648636091,0.912199597,5190.220142,0.548057611,86.1,90,7.75,95.04,8.18,41,175.34,7.19,
Batch739,19-Jan-09,27-Jan-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch740,19-Jan-09,27-Jan-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch743,26-Jan-09,03-Feb-09,RVM,12.80646166,1.947767593,0.60177823,5242.880036,0.37007513,71.4,82,5.85,80.29,5.73,31.5,167,5.26,
Batch744,26-Jan-09,03-Feb-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch745,26-Jan-09,03-Feb-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch748,02-Feb-09,03-Feb-09,RVM,10.46833267,2.507128887,0.544988608,4716.3095,0.405014097,80,70,5.6,80.33,6.43,36.4,168.35,6.13,
Batch749,02-Feb-09,03-Feb-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch750,02-Feb-09,03-Feb-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch753,09-Feb-09,17-Feb-09,RVM,9.635349725,2.999757286,0.664318883,3933.337626,0.286275375,84,79,6.64,82.16,6.9,34.9,195.81,6.83,
Batch754,09-Feb-09,17-Feb-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch755,09-Feb-09,17-Feb-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch758,16-Feb-09,24-Feb-09,RVM,9.511390117,2.458333168,0.533862261,7148.990948,0.508257008,71.5,102,7.29,71.49,5.11,26.2,189.44,4.96,
Batch759,16-Feb-09,24-Feb-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch762,23-Feb-09,03-Mar-09,RVM,14.04082512,2.820681185,0.643544678,6629.135771,0.386736697,83,99,8.22,79.68,6.61,33.6,216.27,7.27,
Batch763,23-Feb-09,03-Mar-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch764,23-Feb-09,03-Mar-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch767,02-Mar-09,10-Mar-09,RVM,9.367635701,1.91555163,0.492650095,6938.082447,0.479498134,74.6,97,7.24,70.01,5.22,26.4,197.05,5.2,
Batch768,02-Mar-09,10-Mar-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch771,09-Mar-09,17-Mar-09,RVM,14.33155525,1.933110425,0.581628422,4396.217423,0.286257344,74.3,57,4.24,78.33,5.82,29.5,177.91,5.25,
Batch772,09-Mar-09,17-Mar-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch775,16-Mar-09,24-Mar-09,RVM,11.35317808,3.386239897,0.728290901,5479.931641,0.690397827,70.8,110,7.79,85.84,6.08,31.3,188.84,5.91,
Batch776,16-Mar-09,24-Mar-09,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch777,16-Mar-09,24-Mar-09,RVM,,,,,,.,.,.,.,.,.,.,.,
